"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈"
"2020100000","2020年度","06302","山形県 中山町","","10,746",""
"2020100000","2020年度","06321","山形県 河北町","","17,641",""
"2020100000","2020年度","06322","山形県 西川町","","4,956",""
"2020100000","2020年度","06323","山形県 朝日町","","6,366",""
"2020100000","2020年度","06324","山形県 大江町","","7,646",""
"2020100000","2020年度","06341","山形県 大石田町","","6,577",""
"2020100000","2020年度","06361","山形県 金山町","","5,071",""
"2020100000","2020年度","06362","山形県 最上町","","8,080",""
"2020100000","2020年度","06363","山形県 舟形町","","5,007",""
"2020100000","2020年度","06364","山形県 真室川町","","7,203",""
"2020100000","2020年度","06365","山形県 大蔵村","","3,028",""
"2020100000","2020年度","06366","山形県 鮭川村","","3,902",""
"2020100000","2020年度","06367","山形県 戸沢村","","4,199",""
"2020100000","2020年度","06381","山形県 高畠町","","22,463",""
"2020100000","2020年度","06382","山形県 川西町","","14,558",""
"2020100000","2020年度","06401","山形県 小国町","","7,107",""
"2020100000","2020年度","06402","山形県 白鷹町","","12,890",""
"2020100000","2020年度","06403","山形県 飯豊町","","6,613",""
"2020100000","2020年度","06426","山形県 三川町","","7,601",""
"2020100000","2020年度","06428","山形県 庄内町","","20,151",""
"2020100000","2020年度","06461","山形県 遊佐町","","13,032",""
"2020100000","2020年度","07201","福島県 福島市","","282,693",""
"2020100000","2020年度","07202","福島県 会津若松市","","117,376",""
"2020100000","2020年度","07203","福島県 郡山市","","327,692",""
"2020100000","2020年度","07204","福島県 いわき市","","332,931",""
"2020100000","2020年度","07205","福島県 白河市","","59,491",""
"2020100000","2020年度","07207","福島県 須賀川市","","74,992",""
"2020100000","2020年度","07208","福島県 喜多方市","","44,760",""
"2020100000","2020年度","07209","福島県 相馬市","","34,865",""
"2020100000","2020年度","07210","福島県 二本松市","","53,557",""
"2020100000","2020年度","07211","福島県 田村市","","35,169",""
